theta_new(rad)	theta(rad)	delta3pSmoothed_Cf	delta3pSmoothed_Cf_smooth	delta2p_Cf	delta2p_Cf_smooth	delta3p_Cf	delta3p_Cf_smooth	delta4p_Cf	delta4p_Cf_smooth
-0.43807265359	-2.70352	0.164784	0.428663556564	-2.06251	0.428618070056	3.47376	0.428762715565	-14.0292	0.437452412178
-0.42555265359	-2.71604	0.64823	0.419011296316	2.44621	0.41892188547	-1.82347	0.419141431048	10.5136	0.42769148383
-0.41304265359	-2.72855	0.261877	0.40914391075	-0.282506	0.408963826911	1.26878	0.409280724181	-4.56229	0.417625882305
-0.40052265359	-2.74107	0.448509	0.399066231072	-0.153201	0.398751800762	0.799474	0.399185875668	0.414304	0.407262675283
-0.38800265359	-2.75359	0.419147	0.388783211591	1.37738	0.388294527029	-0.759662	0.388862735499	3.5269	0.396610577309
-0.37549265359	-2.7661	0.314478	0.378299927373	-0.365571	0.37760147147	1.50638	0.378317704697	-3.0932	0.385679883409
-0.36297265359	-2.77862	0.413197	0.367621571844	0.588839	0.366682768504	-0.0774702	0.367557709017	1.63841	0.374482376006
-0.35045265359	-2.79114	0.355794	0.356753454317	0.522742	0.355549136121	0.0397685	0.356590164956	2.02446	0.363031206666
-0.33794265359	-2.80365	0.311932	0.345700997441	-0.0442064	0.344211784118	0.929179	0.345422938665	-2.7615	0.351340754704
-0.32542265359	-2.81617	0.36125	0.334469734562	0.438594	0.332682317062	0.0828435	0.334064298412	2.38054	0.339426465091
-0.31290265359	-2.82869	0.333721	0.32306530699	0.592351	0.320972633472	0.128734	0.322522861414	0.649859	0.327304668532
-0.30039265359	-2.8412	0.264959	0.311493461166	-0.0548992	0.309094822735	0.466719	0.310807535962	-1.85092	0.314992386868
-0.28787265359	-2.85372	0.361399	0.29976004572	0.464514	0.297061061304	0.633085	0.298927459838	3.24393	0.302507127307
-0.27536265359	-2.86623	0.222758	0.287871008417	0.101942	0.284883509719	-0.398271	0.286891936116	-3.04714	0.289866669146
-0.26284265359	-2.87875	0.352027	0.275832393003	0.789229	0.272574211967	0.87777	0.274710367476	4.07507	0.277088846831
-0.25032265359	-2.89127	0.171978	0.263650335922	-0.491332	0.260144998646	-0.19844	0.262392190205	-3.87159	0.264191333283
-0.23781265359	-2.90378	0.34561	0.251331062935	0.996774	0.247607395333	0.813196	0.249946809067	4.28767	0.251191427394
-0.22529265359	-2.9163	0.156561	0.238880885617	-0.340479	0.234972537468	-0.404835	0.237383534193	-3.36973	0.238105849571
-0.21277265359	-2.92882	0.296188	0.226306197754	0.620101	0.222251092958	0.675784	0.224711521135	3.3554	0.224950549026
-0.20026265359	-2.94133	0.159106	0.213613471629	0.0436761	0.209453193561	-0.0256539	0.211939715149	-2.30806	0.211740526344
-0.18774265359	-2.95385	0.233218	0.200809254208	0.0415808	0.196588376013	0.332882	0.199076800695	2.02932	0.198489674535
-0.17523265359	-2.96636	0.170452	0.18790016323	0.614443	0.183665533664	0.203563	0.186131157061	-1.1363	0.185210641494
-0.16271265359	-2.97888	0.18434	0.174892883209	-0.435705	0.170692879251	0.0608351	0.173110820887	1.17205	0.171914716348
-0.15019265359	-2.9914	0.162675	0.161794161342	0.892866	0.15767791927	0.207779	0.16002345623	-0.540408	0.158611741781
-0.13768265359	-3.00391	0.143947	0.148610803351	-0.705809	0.144627440202	0.129353	0.146876332699	0.632928	0.145310053894
-0.12516265359	-3.01643	0.144703	0.135349669237	1.03078	0.131547506723	0.164483	0.133676311986	-0.151794	0.132016450708
-0.11264265359	-3.02895	0.105855	0.122017668984	-0.774636	0.118443471786	0.107791	0.12042984301	0.230064	0.118736189825
-0.10013265359	-3.04146	0.122806	0.108621758186	1.05511	0.105319998338	0.126013	0.107142965693	0.0746947	0.105473015278
-0.0876126535898	-3.05398	0.0810735	0.0951689336337	-0.852989	0.0921810922384	0.0828706	0.0938213232277	0.0961017	0.092229213008
-0.0751026535898	-3.06649	0.0942056	0.0816662288496	0.970292	0.0790301457788	0.0918915	0.0804701825469	0.0998141	0.0790056939094
-0.0625826535898	-3.07901	0.0585671	0.0681207095785	-0.731159	0.065869991064	0.0577337	0.0670944625319	0.0528149	0.0658021028524
-0.0500626535898	-3.09153	0.0632287	0.0545394692472	0.714325	0.0527029623533	0.0590931	0.0536987693565	0.0721072	0.0526169516085
-0.0375526535898	-3.10404	0.0352407	0.0409296243924	-0.47025	0.039530966342	0.0325637	0.0402874382245	0.0293281	0.0394477731641
-0.0250326535898	-3.11656	0.0316272	0.0272983100641	0.368426	0.0263555592425	0.0277858	0.0268645806337	0.0365164	0.0262912945004
-0.0125126535898	-3.12908	0.0117459	0.013652675211	-0.158899	0.0131780294269	0.00997082	0.0134341361963	0.00956638	0.0131436245784
2.65358979235e-06	3.14159	2.15637e-07	1.21949317491e-07	2.36968e-06	5.15686790652e-07	7.50847e-08	7.20450163624e-08	6.56153e-07	-4.53978266174e-07
