step	MLUPS_solv
1000	192.0514994
2000	194.1107222
3000	188.7498464
4000	122.9397322
5000	123.5693758
6000	123.3069772
7000	123.2743291
8000	123.2927297
9000	123.3766057
10000	123.4239816
11000	123.2085684
12000	123.6118603
13000	123.2806038
14000	123.6150819
15000	123.286146
16000	123.454526
17000	123.5656486
18000	123.4513123
19000	123.3777968
20000	123.4430054
21000	123.3982702
22000	123.2530519
23000	123.604799
24000	123.3028079
25000	123.2160155
26000	123.2683787
27000	123.5829827
28000	123.3522098
29000	123.3225951
30000	123.5411264
31000	123.4028966
32000	122.2947499
33000	122.4593889
34000	122.3281555
35000	122.519558
36000	122.6326126
37000	122.2427978
38000	122.2801064
39000	122.4066691
40000	122.6582171
41000	122.5428986
42000	122.4439641
43000	122.4464269
44000	122.3664785
45000	122.331387
46000	122.5378369
47000	122.3761083
48000	122.3825959
49000	122.5075771
50000	122.3193707
51000	122.4482235
52000	122.5187848
53000	122.2842423
54000	122.1129238
55000	122.6050259
56000	122.3490997
57000	122.0524074
58000	122.3332788
59000	122.8258
60000	122.314172
61000	122.3649773
62000	122.4353208
63000	122.4793847
64000	122.2573929
